Cement (kg/m3 ),Sand (kg/m3 ),Gravel (kg/m3 ),admixture kg/m3,SP kg/m3,water  kg/m3 ,VMA kg/m3,fc' 28 days
180,799,840,67.5,5,198,0,55.2
400,850,700,0,14,250,0,42.9
350,850,700,0,12.25,250,0,40.9
300,850,700,0,10.5,250,0,33.5
465,910,590,0,10.73,227.7,0,35.19
440,910,590,0,11.01,228.6,0,33.15
415,910,590,0,9.91,233.3,0,31.47
385,910,590,0,9.91,234.4,0,30.66
355,910,590,0,9.91,241.6,0,29.62
300,1072.7,733.6,0,5.7,180,0,40.4
350,1080.1,684.3,0,5.25,210,1.23,36.9
350,996.5,726.4,0,5.08,210,0,38.7
440,713,916,27.5,8.22,176,0,79.2
330,699,898,55,9.11,176,0,67.2
220,685,880,82.5,8.89,176,0,59.9
440,721,927,27.5,9.78,176,0,79.6
330,716,920,55,10.78,176,0,87.5
220,710,912,82.5,10.22,176,0,84.5
440,720,924,0,8,176,0,76.9
330,711,913,0,7.5,176,0,62.2
220,703,903,0,4.44,176,0,69.3
440,717,922,27.5,6.4,176,0,78.6
330,707,909,55,6.48,176,0,72.7
220,697,896,82.5,8,176,0,64.3
374,790,968,0,2.25,182,0,93
366,790,968,0,1.25,178,0,97
336,790,968,0,1.5,176,0,101
308,790,968,0,1.65,175,0,103
397,790,968,0,3,168,0,99
388,790,968,0,1.5,170,0,109
413,790,968,0,2,155,0,122
413,790,968,59,2,155,0,118
413,790,968,59,1.75,155,0,119
460,693.81,1085.2,0,1.1,161,0,68
368,693.81,1085.2,0,0.88,161,0,66
322,693.81,1085.2,0,0.77,161,0,58
276,693.81,1085.2,0,0.66,161,0,56
368,693.81,1085.2,0,0.88,161,0,66
322,693.81,1085.2,0,0.77,161,0,61.5
276,693.81,1085.2,0,0.66,161,0,58
319,368,1600,0,0,185,0,44.2
110,698,821,0,1.1,246,0.25,48.3
500,337,1467,0,0,185,0,74.5
220,796,937,0,2.64,172,0.15,73.5
552,342,1486,0,5.52,160,0,91.3
330,835,981,0,4.95,144,0.2,92.6
600,336,1462,0,7.2,155,0,92.3
440,841,989,0,6.6,142,0.2,94.6
412.5,612.7,520.1,0,0,203.5,0,44
401.5,610.9,518.6,11,0,203.5,0,50
385,608.8,516.8,27.5,0,203.5,0,52
412.5,612.7,523.1,0,0,203.5,0,54
401.5,610.9,521.6,11,0,203.5,0,62
385,608.8,519.8,27.5,0,203.5,0,65
337.5,626.5,531.9,0,0,225,0,30
328.5,625.1,530.6,9,0,225,0,32
315,623.4,529.2,22.5,0,225,0,33
337.5,626.1,534.9,0,0,225,0,34
328.5,625.1,533.7,9,0,225,0,40
315,623.4,532.2,22.5,0,225,0,46
375,824.9,824.9,125,6.25,190,0,49
382.5,793.1,793.1,135.5,6.02,206.2,0,38.7
321.8,845.3,845.3,160.2,5.6,174.5,0,37.6
327.5,787.2,787.2,190.5,6.93,206.2,0,47.7
327.5,783.1,783.1,190.5,6.93,206.2,0,47.4
327.5,812.4,812.4,190.5,6.02,187.5,0,53.5
357.5,768.3,768.3,192.5,6.88,209,0,48.2
338.9,824.6,824.6,143,6.45,191.8,0,43.5
300,812.5,812.5,200,6.25,190,0,62.3
304.8,845.4,845.4,177.2,6.45,174.5,0,49.6
345.9,791.2,791.2,172.1,6.02,206.2,0,29.4
345.9,811.3,811.3,172.1,6.02,187.5,0,38.6
345.9,814.5,814.5,172.1,6.93,187.5,0,40.4
345.9,786.1,786.1,172.1,6.93,206.2,0,32.8
321.8,825.7,825.7,160.2,6.45,191.8,0,26.6
327.5,807.3,807.3,190.5,6.93,187.5,0,56.9
345.9,790.2,790.2,172.1,6.93,206.2,0,28.7
270.6,818.1,818.1,211.4,5.6,191.8,0,35.6
290.9,805.4,805.4,227.1,6.93,187.5,0,50.8
325,816.7,816.7,175,6.25,190,0,41.6
327.5,811.5,811.5,190.5,6.93,187.5,0,51.7
321.8,821.8,821.8,160.2,6.45,191.8,0,30.7
327.5,784,784,190.5,6.02,206.2,0,46
309.2,784.2,784.2,208.7,6.93,206.2,0,27.8
364.2,790.1,790.1,153.9,6.02,206.2,0,51.2
325,816.7,816.7,175,6.25,190,0,43.8
345.9,810.3,810.3,172.1,6.93,187.5,0,42.2
338.9,825.5,825.5,143,5.6,191.8,0,50.3
345.9,787.1,787.1,172.1,6.02,206.2,0,31.4
309.2,785.2,785.2,208.7,6.02,206.2,0,26.4
325,816.7,816.7,175,6.25,190,0,41.6
304.8,842.5,842.5,177.2,5.6,174.5,0,54.5
325,816.7,816.7,175,6.25,190,0,41.6
292.5,865,865,157.5,5.63,171,0,34.7
345.9,815.5,815.5,172.1,6.02,187.5,0,39.1
275,808.4,808.4,225,6.25,190,0,36.4
290.9,806.4,806.4,227.1,6.02,187.5,0,48.3
309.2,809.4,809.4,208.7,6.02,187.5,0,35.9
338.9,847.2,847.2,143,6.45,174.5,0,59
325,816.7,816.7,175,6.25,190,0,33
338.9,848.1,848.1,143,5.6,174.5,0,59.7
275,814.1,814.1,225,6.25,190,0,29.7
321.8,849.1,849.1,160.2,5.6,174.5,0,35.8
290.9,782.2,782.2,227.1,6.02,206.2,0,41
350,820.8,820.8,150,6.25,190,0,20.9
382.5,817.4,817.4,135.5,6.02,187.5,0,48.2
382.5,792.1,792.1,135.5,6.93,206.2,0,40.2
325,816.7,816.7,175,6.25,190,0,41.6
325,816.7,816.7,175,6.25,190,0,43.7
325,816.7,816.7,175,6.25,190,0,39.9
325,783.6,783.6,175,6.25,215.5,0,26
290.9,781.2,781.2,227.1,6.93,206.2,0,40.3
364.2,789.1,789.1,153.9,6.93,206.2,0,50.5
327.5,788.2,788.2,190.5,6.02,206.2,0,44
325,816.7,816.7,175,6.25,190,0,42.9
364.2,814.3,814.3,153.9,6.02,187.5,0,60.6
375,819.2,819.2,125,6.25,190,0,49.5
325,816.7,816.7,175,6.25,190,0,37.6
325,816.7,816.7,175,6.25,190,0,41.9
321.8,844.4,844.4,160.2,6.45,174.5,0,39.1
287.7,820,820,194.4,6.45,191.8,0,22.4
304.8,823.8,823.8,177.2,5.6,191.8,0,46.2
287.7,821,821,194.4,5.6,191.8,0,21
321.8,848.2,848.2,160.2,6.45,174.5,0,37.2
356,827.4,827.4,126,6.45,191.8,0,37.1
382.5,816.4,816.4,135.5,6.93,187.5,0,47.4
325,816.7,816.7,175,6.25,190,0,40.9
325,816.7,816.7,175,6.25,190,0,38.7
304.8,822.9,822.9,177.2,6.45,191.8,0,42.4
356,850,850,126,6.45,174.5,0,44.3
287.7,843.5,843.5,194.4,5.6,174.5,0,32.7
287.7,842.6,842.6,194.4,6.45,174.5,0,31.9
321.8,822.7,822.7,160.2,5.6,191.8,0,30.4
327.5,808.3,808.3,190.5,6.02,187.5,0,55.4
309.2,808.4,808.4,208.7,6.93,187.5,0,35.1
325,815.3,815.3,175,7.5,190,0,43.7
304.8,841.5,841.5,177.2,6.45,174.5,0,53.7
356,850.9,850.9,126,5.6,174.5,0,41.7
304.8,819.9,819.9,177.2,5.6,191.8,0,42.7
304.8,846.3,846.3,177.2,5.6,174.5,0,33.3
325,818,818,175,5,190,0,39.5
270.6,817.2,817.2,211.4,6.45,191.8,0,34.9
364.2,813.4,813.4,153.9,6.93,187.5,0,62.2
325,849.2,849.2,175,6.25,165,0,50.6
321.8,826.6,826.6,160.2,5.6,191.8,0,27.2
325,816.7,816.7,175,6.25,190,0,43.1
270.6,839.8,839.8,211.4,6.45,174.5,0,46.5
270.6,840.7,840.7,211.4,5.6,174.5,0,45.1
304.8,819,819,177.2,6.45,191.8,0,42.4
356,828.4,828.4,126,5.6,191.8,0,30.8
